match_id,date,player_1,player_2,player_1_sets_won,player_2_sets_won,winner,total_sets,set_1_player_1,set_1_player_2,set_2_player_1,set_2_player_2,set_3_player_1,set_3_player_2,set_4_player_1,set_4_player_2,set_5_player_1,set_5_player_2,player_1_clean,player_2_clean,player_1_elo,player_2_elo,elo_diff,p1_win_rate_last5,p2_win_rate_last5,p1_head_to_head_wins,p2_head_to_head_wins,p1_head_to_head_win_ratio,p1_streak,p2_streak,p1_form_volatility,p2_form_volatility,player_1_wins,elo_difference_category
40,2025-12-19,Piotr Szafranek,Krzysztof Niemiec,3,1,Piotr Szafranek,4,11.0,5.0,7.0,11.0,11.0,6.0,11.0,7.0,,,Piotr Szafranek,Krzysztof Niemiec,872.0,813.0,59.0,0.5,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,1,50/100
41,2025-12-19,Lukasz Pyda,Pawel Chojnacki,2,3,Pawel Chojnacki,5,6.0,11.0,8.0,11.0,11.0,5.0,11.0,4.0,12.0,14.0,Lukasz Pyda,Pawel Chojnacki,429.0,527.0,-98.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,-100/-50
42,2025-12-19,Mikolaj Lukaszewski,Michal Wojewodka,3,1,Mikolaj Lukaszewski,4,11.0,6.0,11.0,7.0,3.0,11.0,11.0,5.0,,,Mikolaj Lukaszewski,Michal Wojewodka,716.0,695.0,21.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,2.0,0.4714045207910317,0.4714045207910317,1,0/50
43,2025-12-19,Roman Wiza,Krzysztof Juszczyk,3,1,Roman Wiza,4,9.0,11.0,11.0,7.0,11.0,6.0,12.0,10.0,,,Roman Wiza,Krzysztof Juszczyk,475.0,608.0,-133.0,0.5,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,1,-200/-100
44,2025-12-19,Krystian Kolodziej,Krzysztof Marcinowski,3,0,Krystian Kolodziej,3,11.0,5.0,11.0,7.0,11.0,8.0,,,,,Krystian Kolodziej,Krzysztof Marcinowski,1125.0,860.0,265.0,1.0,0.0,1.0,0.0,1.0,3.0,-2.0,0.0,0.0,1,>200
45,2025-12-19,Jakub Witkowski,Maciej Makajew,1,3,Maciej Makajew,4,6.0,11.0,9.0,11.0,11.0,9.0,11.0,13.0,,,Jakub Witkowski,Maciej Makajew,910.0,892.0,18.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0,0/50
47,2025-12-19,Michal Oracz,Piotr Przewlocki,3,1,Michal Oracz,4,11.0,3.0,9.0,11.0,11.0,6.0,11.0,6.0,,,Michal Oracz,Piotr Przewlocki,591.0,604.0,-13.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,2.0,1.0,0.4714045207910317,0.4714045207910317,1,-50/0
48,2025-12-19,Dariusz Szlubowski,Piotr Staniszewski,1,3,Piotr Staniszewski,4,8.0,11.0,11.0,8.0,11.0,13.0,9.0,11.0,,,Dariusz Szlubowski,Piotr Staniszewski,814.0,753.0,61.0,0.0,0.5,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0,50/100
50,2025-12-19,Piotr Szafranek,Jakub Witkowski,3,2,Piotr Szafranek,5,12.0,10.0,8.0,11.0,7.0,11.0,11.0,8.0,11.0,9.0,Piotr Szafranek,Jakub Witkowski,872.0,910.0,-38.0,0.6666666666666666,0.75,0.0,0.0,0.0,1.0,-1.0,0.4714045207910317,0.4330127018922193,1,-50/0
51,2025-12-19,Tomasz Wrzalik,Krzysztof Juszczyk,3,0,Tomasz Wrzalik,3,11.0,8.0,11.0,9.0,11.0,9.0,,,,,Tomasz Wrzalik,Krzysztof Juszczyk,560.0,608.0,-48.0,0.3333333333333333,0.0,0.0,0.0,0.0,-2.0,-3.0,0.4714045207910317,0.0,1,-50/0
